Order_ID,Date,Product,Units_Sold,Revenue
1001,02-01-2024,Mobile Phone,3,"90,000"
1002,03-01-2024,Laptop,1,"65,000"
1003,03-01-2024,Headphones,5,"15,000"
1004,04-01-2024,Smart Watch,2,"24,000"
1005,05-01-2024,Tablet,1,"32,000"
1006,06-01-2024,Mobile Phone,4,"1,20,000"
1007,06-01-2024,Headphones,8,"24,000"
1008,07-01-2024,Laptop,2,"1,30,000"
1009,08-01-2024,Smart Watch,3,"36,000"
1010,09-01-2024,Tablet,2,"64,000"
1011,10-01-2024,Mobile Phone,1,"30,000"
1012,10-01-2024,Headphones,6,"18,000"
1013,11-01-2024,Laptop,1,"65,000"
1014,12-01-2024,Smart Watch,4,"48,000"
1015,13-01-2024,Tablet,3,"96,000"
1016,14-01-2024,Mobile Phone,2,"60,000"
1017,14-01-2024,Headphones,10,"30,000"
1018,15-01-2024,Laptop,3,"1,95,000"
1019,16-01-2024,Smart Watch,1,"12,000"
1020,17-01-2024,Tablet,2,"64,000"
1021,18-01-2024,Mobile Phone,5,"1,50,000"
1022,18-01-2024,Headphones,4,"12,000"
1023,19-01-2024,Laptop,2,"1,30,000"
1024,20-01-2024,Smart Watch,3,"36,000"
1025,21-01-2024,Tablet,1,"32,000"
1026,22-01-2024,Mobile Phone,2,"60,000"
1027,23-01-2024,Headphones,7,"21,000"
1028,24-01-2024,Laptop,1,"65,000"
1029,25-01-2024,Smart Watch,2,"24,000"
1030,26-01-2024,Tablet,3,"96,000"
